customer_id,customer_name,gender,age,city,state,region,customer_segment,signup_date
10001,Customer_10001,Male,21,Hyderabad,Delhi,North,Corporate,2025-09-08
10002,Customer_10002,Female,42,Lucknow,Odisha,Southeast,Consumer,2023-12-30
10003,Customer_10003,Female,45,Pune,Tripura,Northeast,Consumer,2025-01-17
10004,Customer_10004,Female,53,Lucknow,Gujarat,West,Home Office,2026-03-21
10005,Customer_10005,Male,45,Coimbatore,Gujarat,West,Consumer,2022-03-18
10006,Customer_10006,Male,27,Pune,Odisha,Southeast,Consumer,2022-06-25
10007,Customer_10007,Female,35,Vijayawada,Delhi,North,Corporate,2026-01-12
10008,Customer_10008,Female,39,Hyderabad,Assam,Northeast,Consumer,2024-06-27
10009,Customer_10009,Female,65,Lucknow,Kerala,South,Home Office,2024-09-15
10010,Customer_10010,Female,43,Kolkata,Rajasthan,North,Corporate,2023-07-01
10011,Customer_10011,Male,48,Jaipur,Madhya Pradesh,Central,Consumer,2025-08-15
10012,Customer_10012,Male,53,Mumbai,Maharashtra,Southwest,Consumer,2024-10-31
10013,Customer_10013,Male,35,Jaipur,Assam,Northeast,Consumer,2023-02-17
10014,Customer_10014,Male,64,Jaipur,Odisha,Southeast,Corporate,2024-11-03
10015,Customer_10015,Male,50,Pune,Meghalaya,Northeast,Consumer,2022-01-07
10016,Customer_10016,Female,58,Nagpur,Telangana,Southeast,Corporate,2023-01-20
10017,Customer_10017,Male,53,Delhi,Madhya Pradesh,Central,Consumer,2022-11-23
10018,Customer_10018,Male,47,Mumbai,Kerala,South,Consumer,2025-06-11
10019,Customer_10019,Female,19,Warangal,Odisha,Southeast,Consumer,2025-03-22
10020,Customer_10020,Male,46,Kolkata,Rajasthan,West,Consumer,2022-05-27
10021,Customer_10021,Male,24,Vijayawada,Madhya Pradesh,Central,Consumer,2025-12-21
10022,Customer_10022,Female,46,Lucknow,Jharkhand,East,Consumer,2025-08-02
10023,Customer_10023,Male,51,Bengaluru,Kerala,South,Home Office,2023-11-27
10024,Customer_10024,Female,44,Warangal,Karnataka,Southwest,Consumer,2022-12-06
10025,Customer_10025,Female,32,Hyderabad,Odisha,Southeast,Corporate,2023-11-04
10026,Customer_10026,Male,20,Hyderabad,Meghalaya,Northeast,Consumer,2024-08-01
10027,Customer_10027,Female,50,Bengaluru,Rajasthan,West,Corporate,2024-10-05
10028,Customer_10028,Female,51,Mumbai,Andhra Pradesh,Southeast,Consumer,2023-07-10
