delivery_id,order_id,dispatch_date,promised_days,promised_delivery_date,actual_delivery_date,actual_delivery_days,delivery_status,delivery_partner,delivery_cost,distance_km,attempt_count
900001,500001,2024-06-07,5,2024-06-10,2024-06-11,4,Not Shipped,XpressBees,273.24,531,1
900002,500002,2024-08-20,6,2024-08-23,2024-08-24,4,On Time,Ekart,611.69,1336,2
900003,500003,2024-06-21,4,2024-06-23,2024-06-29,8,On Time,Ekart,42.85,969,1
900004,500004,2024-05-18,6,2024-05-23,2024-05-20,2,On Time,XpressBees,409.37,1661,1
900005,500005,2024-08-08,8,2024-08-15,2024-08-17,9,On Time,Ecom Express,297.45,135,2
900006,500006,2026-02-17,3,2026-02-18,2026-02-19,2,Delayed,DTDC,59.83,793,1
900007,500007,2025-02-26,8,2025-03-02,2025-03-07,9,Cancelled,XpressBees,42.23,451,2
900008,500008,2024-12-15,8,2024-12-23,2024-12-16,1,On Time,Ecom Express,676.84,897,2
900009,500009,2024-06-24,4,2024-06-27,2024-07-04,10,Cancelled,Ekart,188.04,542,1
900010,500010,2024-06-19,8,2024-06-24,2024-06-22,3,On Time,DTDC,89.89,231,1
900011,500011,2025-05-23,5,2025-05-26,2025-05-24,1,Delayed,Delhivery,145.37,556,3
900012,500012,2025-11-18,5,2025-11-21,2025-11-28,10,Delayed,Ecom Express,656.33,305,1
900013,500013,2025-05-24,8,2025-05-31,2025-05-26,2,Returned,Ekart,469.14,2005,1
900014,500014,2025-08-26,8,2025-08-30,2025-09-02,7,Returned,Delhivery,341.78,2486,1
900015,500015,2024-08-30,4,2024-08-30,2024-09-07,8,Early,Ecom Express,511.8,1063,1
900016,500016,2026-05-16,5,2026-05-17,2026-05-20,4,On Time,Ecom Express,84.33,123,1
900017,500017,2026-01-21,3,2026-01-23,2026-01-30,9,On Time,XpressBees,146.4,1094,1
900018,500018,2026-03-14,7,2026-03-18,2026-03-23,9,Delayed,XpressBees,92.41,1635,1
900019,500019,2025-09-04,7,2025-09-07,2025-09-05,1,On Time,Delhivery,589.25,53,1
900020,500020,2025-09-26,6,2025-10-01,2025-10-02,6,Delayed,DTDC,60.22,51,1
900021,500021,2024-03-06,4,2024-03-09,2024-03-13,7,Not Shipped,DTDC,196.76,1898,1
900022,500022,2024-05-29,7,2024-06-02,2024-05-31,2,On Time,DTDC,212.08,2269,1
900023,500023,2024-04-30,3,2024-05-03,2024-05-09,9,On Time,Ecom Express,325.8,2301,2
900024,500024,2025-03-19,6,2025-03-22,2025-03-26,7,On Time,Delhivery,288.69,166,1
900025,500025,2025-06-24,7,2025-06-27,2025-06-30,6,On Time,XpressBees,304.03,207,1
900026,500026,2024-04-20,4,2024-04-22,2024-04-30,10,On Time,Delhivery,315.81,2292,1
900027,500027,2025-11-20,4,2025-11-20,2025-11-27,7,In Transit,Ecom Express,520.21,76,1
900028,500028,2025-05-18,7,2025-05-23,2025-05-19,1,On Time,BlueDart,223.91,1747,2
900029,500029,2025-06-29,4,2025-07-01,2025-07-07,8,On Time,XpressBees,673.23,2105,2
900030,500030,2026-04-20,6,2026-04-22,2026-04-30,10,Returned,Ekart,211.32,978,1
900031,500031,2025-06-20,4,2025-06-21,2025-06-26,6,On Time,DTDC,371.28,719,1
900032,500032,2024-01-04,6,2024-01-10,2024-01-09,5,On Time,Ekart,309.86,1105,1
900033,500033,2025-12-06,5,2025-12-07,2025-12-08,2,Delayed,DTDC,450.18,1502,1
900034,500034,2026-03-11,5,2026-03-14,2026-03-16,5,On Time,BlueDart,161.38,268,2
900035,500035,2024-03-18,5,2024-03-22,2024-03-19,1,Not Shipped,Ekart,192.84,1155,1
900036,500036,2025-05-10,8,2025-05-14,2025-05-11,1,On Time,Delhivery,535.5,484,1
900037,500037,2025-03-07,8,2025-03-12,2025-03-09,2,Delayed,DTDC,235.8,1812,2
900038,500038,2024-05-18,5,2024-05-22,2024-05-21,3,Not Shipped,XpressBees,235.56,231,1
900039,500039,2024-09-12,6,2024-09-14,2024-09-19,7,On Time,Ecom Express,630.05,168,3
900040,500040,2026-02-23,3,2026-02-22,2026-02-27,4,On Time,Ekart,426.15,46,1
900041,500041,2024-12-23,5,2024-12-28,2024-12-31,8,Cancelled,Delhivery,144.45,2118,2
900042,500042,2025-05-06,8,2025-05-12,2025-05-16,10,On Time,XpressBees,553.05,1696,1
900043,500043,2025-12-12,7,2025-12-16,2025-12-21,9,Not Shipped,BlueDart,66.12,593,1
900044,500044,2025-02-14,8,2025-02-20,2025-02-22,8,Not Shipped,Ecom Express,555.61,467,1
900045,500045,2026-03-25,7,2026-03-30,2026-03-31,6,In Transit,Ekart,435.38,749,1
900046,500046,2025-04-04,3,2025-04-03,2025-04-14,10,Not Shipped,XpressBees,454.37,2416,2
900047,500047,2026-06-20,4,2026-06-22,2026-06-23,3,Delayed,Ecom Express,685.85,2040,1
900048,500048,2024-05-14,7,2024-05-21,2024-05-22,8,Delayed,BlueDart,384.06,2071,1
900049,500049,2026-03-24,3,2026-03-23,2026-04-02,9,On Time,Ecom Express,260.68,66,1
900050,500050,2024-04-13,6,2024-04-18,2024-04-22,9,Returned,XpressBees,350.33,203,1
900051,500051,2026-01-11,8,2026-01-19,2026-01-14,3,On Time,XpressBees,270.51,1399,1
900052,500052,2025-08-27,5,2025-08-31,2025-08-28,1,Delayed,BlueDart,395.49,2016,2
900053,500053,2025-05-29,7,2025-06-01,2025-06-07,9,On Time,Delhivery,388.87,1818,2
900054,500054,2026-03-17,4,2026-03-17,2026-03-26,9,In Transit,Delhivery,551.61,985,2
900055,500055,2025-08-07,7,2025-08-14,2025-08-14,7,On Time,DTDC,295.13,1114,1
900056,500056,2025-09-25,3,2025-09-28,2025-10-04,9,On Time,Ekart,667.79,523,1
900057,500057,2025-11-22,4,2025-11-22,2025-11-28,6,In Transit,Ekart,243.87,230,1
900058,500058,2026-02-05,4,2026-02-09,2026-02-11,6,On Time,Ecom Express,270.75,512,1
900059,500059,2024-08-01,7,2024-08-06,2024-08-04,3,On Time,Delhivery,547.19,2274,1
900060,500060,2026-02-10,7,2026-02-16,2026-02-18,8,Returned,Delhivery,277.6,1613,1
900061,500061,2025-06-21,8,2025-06-29,2025-06-30,9,On Time,DTDC,375.74,677,2
900062,500062,2024-02-02,8,2024-02-07,2024-02-10,8,On Time,Delhivery,223.33,2377,2
900063,500063,2026-04-17,5,2026-04-22,2026-04-18,1,On Time,Delhivery,272.46,1663,1
900064,500064,2025-12-05,7,2025-12-11,2025-12-06,1,Returned,Ekart,497.73,2158,1
900065,500065,2026-03-27,7,2026-03-31,2026-04-05,9,Early,DTDC,442.0,863,1
900066,500066,2025-12-06,8,2025-12-13,2025-12-09,3,On Time,Delhivery,641.2,1410,1
900067,500067,2024-11-15,6,2024-11-17,2024-11-22,7,Not Shipped,Delhivery,195.82,1716,1
900068,500068,2024-11-17,5,2024-11-20,2024-11-27,10,On Time,Delhivery,692.3,256,1
900069,500069,2024-09-09,7,2024-09-16,2024-09-15,6,Returned,Ecom Express,173.52,565,1
900070,500070,2025-01-11,8,2025-01-16,2025-01-15,4,Returned,XpressBees,111.73,1137,1
900071,500071,2024-02-04,6,2024-02-07,2024-02-14,10,On Time,XpressBees,267.16,2367,1
900072,500072,2025-11-12,4,2025-11-14,2025-11-14,2,Returned,Delhivery,405.88,1883,1
900073,500073,2025-11-21,8,2025-11-25,2025-11-26,5,On Time,DTDC,112.47,1333,1
900074,500074,2026-06-21,5,2026-06-23,2026-06-28,7,On Time,Ecom Express,378.21,2394,1
