order_id,order_date,customer_id,product_id,seller_id,quantity,discount_pct,shipping_fee,shipping_date,delivery_date,delivery_days,order_status,sales_channel,delivery_partner,unit_price,gross_sales,discount_amount,net_sales,estimated_cost,profit
500001,2024-06-05,14036,20699,30206,1,0.024,28.56,2024-06-07,2024-06-11,4,Processing,Mobile App,XpressBees,16534.68,16534.68,396.83,16137.85,14697.86,1411.43
500002,2024-08-17,14854,20602,30213,2,0.25,542.27,2024-08-20,2024-08-24,4,Delivered,Website,Ekart,12079.51,24159.02,6039.76,18119.26,20016.6,-2439.61
500003,2024-06-19,14303,20188,30157,4,0.113,345.43,2024-06-21,2024-06-29,8,Delivered,Website,Ekart,27531.56,110126.24,12444.27,97681.97,85380.88,11955.66
500004,2024-05-17,12888,20067,30300,5,0.027,357.41,2024-05-18,2024-05-20,2,Delivered,Mobile App,XpressBees,612.98,3064.9,82.75,2982.15,2315.65,309.09
500005,2024-08-07,13439,20530,30242,4,0.257,282.92,2024-08-08,2024-08-17,9,Delivered,Mobile App,Ecom Express,20232.73,80930.92,20799.25,60131.67,58721.6,1127.15
500006,2026-02-15,14785,20826,30016,2,0.195,171.28,2026-02-17,2026-02-19,2,Delivered,Social Commerce,DTDC,7704.06,15408.12,3004.58,12403.54,9852.5,2379.76
500007,2025-02-22,11401,20916,30195,4,0.179,174.48,2025-02-26,2025-03-07,9,Cancelled,Mobile App,XpressBees,2829.31,11317.24,2025.79,9291.45,5510.64,3606.33
500008,2024-12-15,14102,20081,30116,1,0.202,379.21,2024-12-15,2024-12-16,1,Delivered,Website,Ecom Express,21607.87,21607.87,4364.79,17243.08,10328.04,6535.83
500009,2024-06-23,12018,20946,30229,3,0.189,72.42,2024-06-24,2024-07-04,10,Cancelled,Website,Ekart,34674.21,104022.63,19660.28,84362.35,62020.32,22269.61
500010,2024-06-16,11192,20864,30091,2,0.25,254.88,2024-06-19,2024-06-22,3,Delivered,Social Commerce,DTDC,8592.07,17184.14,4296.04,12888.1,10643.18,1990.04
500011,2025-05-21,11756,20591,30277,4,0.142,141.83,2025-05-23,2025-05-24,1,Delivered,Website,Delhivery,15403.53,61614.12,8749.21,52864.91,41845.12,10877.96
500012,2025-11-16,11146,20273,30039,2,0.249,213.94,2025-11-18,2025-11-28,10,Delivered,Website,Ecom Express,35714.21,71428.42,17785.68,53642.74,42056.08,11372.72
500013,2025-05-23,10917,20471,30198,3,0.297,241.09,2025-05-24,2025-05-26,2,Returned,Mobile App,Ekart,17717.52,53152.56,15786.31,37366.25,28820.64,8304.52
500014,2025-08-22,14411,20259,30068,4,0.248,26.82,2025-08-26,2025-09-02,7,Returned,Website,Delhivery,6022.5,24090.0,5974.32,18115.68,18218.0,-129.14
500015,2024-08-26,11428,20528,30145,3,0.079,580.16,2024-08-30,2024-09-07,8,Delivered,Website,Ecom Express,25098.9,75296.7,5948.44,69348.26,63229.62,5538.48
500016,2026-05-12,11238,20399,30045,2,0.206,160.73,2026-05-16,2026-05-20,4,Delivered,Website,Ecom Express,30489.24,60978.48,12561.57,48416.91,43804.86,4451.32
500017,2026-01-20,10259,20842,30142,2,0.271,491.59,2026-01-21,2026-01-30,9,Delivered,Website,XpressBees,49065.19,98130.38,26593.33,71537.05,49428.16,21617.3
500018,2026-03-11,11158,20612,30102,3,0.144,379.55,2026-03-14,2026-03-23,9,Delivered,Mobile App,XpressBees,5717.58,17152.74,2469.99,14682.75,15038.55,-735.35
500019,2025-08-31,12270,20493,30290,4,0.21,430.2,2025-09-04,2025-09-05,1,Delivered,Mobile App,Delhivery,48761.88,195047.52,40959.98,154087.54,92032.28,61625.06
500020,2025-09-25,11934,20094,30195,5,0.275,284.46,2025-09-26,2025-10-02,6,Delivered,Marketplace,DTDC,36395.32,181976.6,50043.56,131933.04,91384.45,40264.13
500021,2024-03-05,10336,20677,30212,1,0.139,252.83,2024-03-06,2024-03-13,7,Processing,Social Commerce,DTDC,40983.21,40983.21,5696.67,35286.54,20150.12,14883.59
500022,2024-05-26,13374,20529,30166,4,0.17,470.81,2024-05-29,2024-05-31,2,Delivered,Mobile App,DTDC,27677.57,110710.28,18820.75,91889.53,76508.12,14910.6
