product_id,product_name,category,brand,unit_cost,supplier,product_rating,list_price
20001,Product_20001,Garden,ProGear,9105.7,Supplier_45,4.3,15787.07
20002,Product_20002,Health & Wellness,CloudNine,18346.52,Supplier_73,3.6,31041.51
20003,Product_20003,Fashion,Prime,19453.14,Supplier_10,4.5,26319.24
20004,Product_20004,Gaming,Prime,19772.3,Supplier_51,3.1,32718.5
20005,Product_20005,Gaming,Urban,18528.69,Supplier_12,3.9,39451.86
20006,Product_20006,Electronics,Prime,5867.4,Supplier_49,4.0,9258.5
20007,Product_20007,Electronics,Nova,7298.26,Supplier_53,4.3,14747.79
20008,Product_20008,Fashion,CloudNine,23556.82,Supplier_5,3.4,35637.88
20009,Product_20009,Office Supplies,EcoLife,13891.12,Supplier_45,2.9,24472.48
20010,Product_20010,Automotive,ProGear,18885.81,Supplier_101,4.1,30525.02
20011,Product_20011,Toys,EcoLife,15019.97,Supplier_146,4.3,27475.75
20012,Product_20012,Sports,ProGear,23120.1,Supplier_93,4.6,47264.4
20013,Product_20013,Books,Vision,21732.67,Supplier_107,3.8,34210.0
20014,Product_20014,Kitchen,Apex,6608.23,Supplier_101,4.4,12556.44
20015,Product_20015,Mobile Accessories,Apex,22129.27,Supplier_142,4.3,44900.64
20016,Product_20016,Automotive,StyleHub,7570.98,Supplier_142,4.7,14636.45
20017,Product_20017,Fashion,TechPro,11080.41,Supplier_18,4.0,12690.31
20018,Product_20018,Office Supplies,FreshCart,21295.72,Supplier_71,3.0,23855.37
20019,Product_20019,Furniture,Zen,8168.07,Supplier_137,4.0,16576.68
20020,Product_20020,Mobile Accessories,Zen,7340.22,Supplier_133,4.0,13734.97
20021,Product_20021,Sports,StyleHub,16749.56,Supplier_81,4.3,35289.25
20022,Product_20022,Sports,Apex,24991.94,Supplier_67,3.2,35519.97
20023,Product_20023,Toys,FreshCart,3363.32,Supplier_9,3.8,6496.61
20024,Product_20024,Travel,Nova,17556.41,Supplier_72,4.5,34157.18
20025,Product_20025,Jewelry,FreshCart,13221.19,Supplier_76,3.9,26482.66
20026,Product_20026,Grocery,SmartOne,10324.38,Supplier_95,3.8,18922.41
20027,Product_20027,Health & Wellness,Elite,18771.48,Supplier_79,5.0,23698.19
20028,Product_20028,Toys,Zen,13915.42,Supplier_33,3.4,25345.14
20029,Product_20029,Fashion,Elite,19965.5,Supplier_146,4.7,34792.24
20030,Product_20030,Electronics,FreshCart,18621.96,Supplier_33,4.6,27256.63
20031,Product_20031,Electronics,HomeMax,24629.46,Supplier_58,3.9,32877.17
