seller_id,seller_name,seller_region,seller_rating,seller_type,commission_rate
30001,Seller_30001,South,4.7,Distributor,0.089
30002,Seller_30002,North,3.5,Small Business,0.152
30003,Seller_30003,Southwest,4.7,Distributor,0.104
30004,Seller_30004,East,3.8,Distributor,0.07
30005,Seller_30005,North,4.2,Small Business,0.146
30006,Seller_30006,Southeast,4.2,Retailer,0.158
30007,Seller_30007,West,3.9,Manufacturer,0.162
30008,Seller_30008,Southwest,3.8,Retailer,0.17
30009,Seller_30009,West,3.9,Retailer,0.147
30010,Seller_30010,Southeast,3.6,Distributor,0.119
30011,Seller_30011,Central,5.0,Retailer,0.172
30012,Seller_30012,West,3.9,Retailer,0.077
30013,Seller_30013,West,4.6,Retailer,0.06
30014,Seller_30014,East,4.6,Small Business,0.106
30015,Seller_30015,Northeast,4.3,Retailer,0.126
30016,Seller_30016,Central,4.0,Retailer,0.138
30017,Seller_30017,North,4.2,Retailer,0.156
30018,Seller_30018,West,4.4,Manufacturer,0.053
30019,Seller_30019,West,4.1,Manufacturer,0.154
30020,Seller_30020,Southwest,3.4,Small Business,0.128
30021,Seller_30021,West,3.3,Retailer,0.174
30022,Seller_30022,Central,4.8,Distributor,0.095
30023,Seller_30023,North,2.9,Manufacturer,0.13
30024,Seller_30024,West,4.2,Manufacturer,0.15
30025,Seller_30025,East,4.0,Manufacturer,0.117
30026,Seller_30026,West,4.2,Distributor,0.07
30027,Seller_30027,Southwest,3.6,Retailer,0.056
30028,Seller_30028,Southwest,4.3,Manufacturer,0.064
30029,Seller_30029,East,4.2,Retailer,0.114
30030,Seller_30030,Central,5.0,Small Business,0.133
30031,Seller_30031,Southwest,4.2,Small Business,0.124
30032,Seller_30032,South,4.7,Retailer,0.143
30033,Seller_30033,West,3.4,Distributor,0.055
30034,Seller_30034,Central,4.6,Retailer,0.068
30035,Seller_30035,North,4.2,Retailer,0.149
30036,Seller_30036,West,4.2,Manufacturer,0.152
30037,Seller_30037,North,4.2,Small Business,0.141
30038,Seller_30038,East,4.9,Retailer,0.147
30039,Seller_30039,North,4.2,Retailer,0.175
30040,Seller_30040,Northeast,3.7,Distributor,0.173
30041,Seller_30041,Southeast,3.8,Manufacturer,0.134
30042,Seller_30042,East,4.5,Small Business,0.092
30043,Seller_30043,North,4.3,Manufacturer,0.052
30044,Seller_30044,West,3.4,Manufacturer,0.132
30045,Seller_30045,North,4.3,Retailer,0.106
30046,Seller_30046,West,3.6,Retailer,0.069
30047,Seller_30047,Central,4.3,Manufacturer,0.078
30048,Seller_30048,West,3.7,Manufacturer,0.172
30049,Seller_30049,Central,4.0,Retailer,0.059
30050,Seller_30050,Central,3.9,Small Business,0.152
30051,Seller_30051,South,4.8,Distributor,0.167
30052,Seller_30052,Northeast,4.3,Retailer,0.139
30053,Seller_30053,Northeast,4.7,Distributor,0.058
30054,Seller_30054,South,5.0,Retailer,0.16
30055,Seller_30055,West,4.1,Retailer,0.135
30056,Seller_30056,East,4.8,Retailer,0.086
30057,Seller_30057,West,3.8,Retailer,0.132
30058,Seller_30058,Southeast,4.7,Distributor,0.068
30059,Seller_30059,Central,3.7,Manufacturer,0.142
30060,Seller_30060,Southwest,4.1,Retailer,0.167
30061,Seller_30061,Central,4.3,Manufacturer,0.118
30062,Seller_30062,North,4.4,Retailer,0.174
30063,Seller_30063,Northeast,3.5,Distributor,0.107
30064,Seller_30064,North,3.7,Manufacturer,0.161
30065,Seller_30065,East,4.4,Retailer,0.151
30066,Seller_30066,Southwest,3.9,Distributor,0.061
30067,Seller_30067,Southwest,3.5,Small Business,0.169
30068,Seller_30068,South,4.1,Manufacturer,0.168
30069,Seller_30069,Southwest,4.0,Manufacturer,0.096
30070,Seller_30070,Southwest,4.2,Manufacturer,0.153
30071,Seller_30071,Southwest,4.3,Distributor,0.079
30072,Seller_30072,Southeast,4.3,Retailer,0.054
30073,Seller_30073,North,3.8,Distributor,0.077
30074,Seller_30074,North,3.9,Manufacturer,0.113
30075,Seller_30075,Central,4.5,Small Business,0.058
30076,Seller_30076,North,3.9,Manufacturer,0.071
